"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"116","002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116","003","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116","005","","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","Course Total","","36","",".",".",".",".",".",".",".",".",".","97.2","2.8",".",".",".",".","."
"117","002","","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"117","003","","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"117","004","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117","005","","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117","006","","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"117","008","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117","010","","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","."
"","Course Total","","96","",".",".",".",".",".",".",".",".",".","92.7","6.3",".",".",".",".","."
"118","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","002","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","003","","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","004","","14","3.571","71.4","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"118","005","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","006","","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"118","007","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","008","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","009","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","010","","12","3.708","75.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"118","011","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","012","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","014","","14","3.250","71.4","7.1",".",".","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"118","015","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","016","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","017","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","018","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","020","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","021","","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118","022","","13","3.500","61.5","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"118","023","","13","3.692","69.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"118","024","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Course Total","","290","3.753","72.4","16.6","8.3","0.3","1.0",".","1.4",".",".",".",".",".",".",".",".","."
"200","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"328","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"343","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"344","002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345","004","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Course Total","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
