"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Summative Research Internship","Course Total","","14","3.918","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"761
IntroPharmacol","001","","21","3.950","85.7","9.5",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"762","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"762","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"DrugDevI","Course Total","","10","3.611","50.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".","10.0","."
"763","001","","17","3.647","70.6","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"763","002","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drug Development Process II","Course Total","","28","3.750","78.6","14.3","3.6",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"775
Polymeric Drug Delivery","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"786
Natrl Prod Synth&Drug Discovry","001","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","001","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","002","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","003","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","62","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","66","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
