"LEGAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","","106","3.157","29.2","19.8","28.3","7.5","10.4","1.9","1.9",".",".",".",".",".",".",".","0.9","."
"Disability & Crim Justice Syst","135
001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217
001","","37","3.770","83.8","8.1","2.7",".","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Prisons: Antiquity to Supermax","235
001","","72","3.843","70.8","23.6","1.4","1.4",".",".",".","1.4",".",".",".",".","1.4",".",".","."
"American Legal History to Pres","262
001","","30","3.229","6.7","30.0","36.7","6.7",".",".",".","20.0",".",".",".",".",".",".",".","."
"","400
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
033","","26","3.538","38.5","42.3","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","400
036","","31","3.581","61.3","16.1","16.1","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"","400
038","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
041","","19","3.842","84.2","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","","89","3.663","62.9","19.1","12.4","3.4","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Law, Sexuality, & Society","406
001","","32","3.859","81.3","9.4","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women and the Law","422
001","","40","3.813","65.0","32.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","","29","3.690","51.7","37.9","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","","33","3.606","42.4","45.5","6.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","Course Total","","62","3.645","46.8","41.9","6.5","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"The History of Punishment","426
001","","19","3.579","47.4","36.8","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430
001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Rights","435
001","","83","3.537","28.9","48.2","21.7",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443
001","","44","3.698","59.1","27.3","4.5","4.5","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Law in Action","444
001","","64","3.810","60.9","37.5",".",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Health and Social Needs","473
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Forensic Science","477
001","","20","3.225","15.0","25.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Pluralism","510
001","","23","3.174","13.0","34.8","30.4","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Law and Public Education","542
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","694
001","","25","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","694
002","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","Course Total","","53","3.943","92.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","32","3.982","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
