"998","015
1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"998","045
1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"998","101
1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total
3","***","","","","","","","","","","","","","","","","","","","","","","","",""
"EMER MED
330","111
Dept. Total","4.000","","7.2","",".","",".","",".","",".","",".","",".","92.8","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 1","5","***","","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","46","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"Prof Yr 4","57","","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"Professionals","108","4.000","","4.6","",".","",".","",".","",".","",".","",".","95.4","",".",".",".",".",".",".",".","."
"","Dept. Total
111","4.000","","7.2","",".","",".","",".","",".","",".","",".","92.8","",".",".",".",".",".",".",".","."
