"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"","699
012","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","303","3.664","53.8","17.5","5.9","4.0","1.0","0.7","0.3","",".","",".","16.2","",".","",".","",".","0.7",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.308","28.0","12.0","4.0","20.0","4.0",".",".","",".","",".","32.0","",".","",".","",".",".",".","."
"Sophomore","","83","3.726","47.0","19.3","4.8","2.4","1.2",".",".","",".","",".","25.3","",".","",".","",".",".",".","."
"Junior","","88","3.687","54.5","17.0","8.0","5.7","1.1",".",".","",".","",".","13.6","",".","",".","",".",".",".","."
"Senior","","91","3.706","64.8","18.7","6.6",".",".","1.1","1.1","",".","",".","7.7","",".","",".","",".",".",".","."
"Undergraduates","","287","3.673","53.3","17.8","6.3","4.2","1.0","0.3","0.3","",".","",".","16.7","",".","",".","",".",".",".","."
"Special","","8","3.067","37.5","12.5",".",".",".","12.5",".","",".","",".","12.5","",".","",".","",".","25.0",".","."
"Graduate","","7","3.864","85.7","14.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","303","3.664","53.8","17.5","5.9","4.0","1.0","0.7","0.3","",".","",".","16.2","",".","",".","",".","0.7",".","."
