"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Probability for Actuaries","300
001","28","",".",".",".",".",".",".",".",".","",".","","100.0",".","",".","","",".",".",".","."
"","303
001","54","3.343","25.9","33.3","29.6","9.3",".","1.9",".",".","",".","",".",".","",".","","",".",".",".","."
"","303
002","2","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Theory of Interest","Course Total","56","3.241","25.0","32.1","28.6","8.9",".","3.6","1.8","",".","",".",".","",".","",".","",".",".",".","."
"Reading and Research","399
070","4","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Actuarial Statistics for Risk","640
001","17","3.353","35.3","35.3","11.8",".","17.6",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Fund Long-Term Actuarial Model","650
001","35","3.057","31.4","14.3","14.3","20.0","17.1","2.9",".",".","",".","",".",".","",".","","",".",".",".","."
"Adv Long-Term Actuarial Model","651
001","11","3.045","18.2","27.3","18.2","18.2","18.2",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Fund Short-Term Actuarial Modl","652
001","32","3.484","62.5","9.4","9.4","12.5",".","6.3",".",".","",".","",".",".","",".","","",".",".",".","."
"Adv Short-Term Actuarial Model","653
001","11","3.136","36.4","9.1","27.3","18.2",".","9.1",".",".","",".","",".",".","",".","","",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","12","3.583","33.3","50.0","16.7",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Risk Analytics","657
001","34","3.603","47.1","26.5","26.5",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"ACT SCI
242","Dept. Total","240","3.319","32.5","21.7","17.9","8.3","5.0","2.5","0.4","",".","",".","11.7","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","36","3.370","27.8","13.9","19.4","13.9",".",".",".","",".","",".","25.0","",".","",".","",".",".",".","."
"Junior","","55","3.322","21.8","21.8","12.7","9.1","5.5",".",".","",".","",".","29.1","",".","",".","",".",".",".","."
"Senior","","99","3.307","38.4","22.2","15.2","9.1","8.1","4.0",".","",".","",".","3.0","",".","",".","",".",".",".","."
"Undergraduates","","190","3.321","31.6","20.5","15.3","10.0","5.8","2.1",".","",".","",".","14.7","",".","",".","",".",".",".","."
"Special","","16","2.789","12.5","31.3","31.3","6.3",".","12.5","6.3","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","34","3.544","47.1","23.5","26.5",".","2.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","240","3.319","32.5","21.7","17.9","8.3","5.0","2.5","0.4","",".","",".","11.7","",".","",".","",".",".",".","."
