"","775
005","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
006","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","163","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"MED SC-V
623","Dept. Total","1470","3.663","29.4","3.1","4.7","0.3","0.7",".",".","61.7",".",".",".",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 1","","307","3.556","16.3","5.2","9.8",".","1.0",".",".","67.4",".",".",".",".","0.3",".",".","."
"Prof Yr 2","","127","4.000","9.4",".",".",".",".",".",".","90.6",".",".",".",".",".",".",".","."
"Prof Yr 3","","472","3.524","41.1","6.1","8.3","1.1","1.7",".",".","41.7",".",".",".",".",".",".",".","."
"Prof Yr 4","","541","4.000","32.0",".",".",".",".",".",".","68.0",".",".",".",".",".",".",".","."
"Professionals","","1447","3.661","29.6","3.1","4.8","0.3","0.8",".",".","61.3",".",".",".",".","0.1",".",".","."
"","Dept. Total","1470","3.663","29.4","3.1","4.7","0.3","0.7",".",".","61.7",".",".",".",".","0.1",".",".","."
