"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"","265
049","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
058","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
149","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resistance Music Ensemble","266
101","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
089","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
135","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
163","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","272
101","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
011","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
034","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
111","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
112","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","297
211","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","81","3.832","92.6","2.5","2.5",".","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Principles of Music Education","300
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Improvisation","332
066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","340
003","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","346
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
116","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Wind Ensemble","40
001","","36","3.944","94.4","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","","57","3.965","93.0","7.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 312 of 486",""
