"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","115","3.235","9.6","37.4","43.5","9.6",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","39","3.192","2.6","43.6","43.6","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","50","3.250","2.0","56.0","34.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","300
004","46","3.239","10.9","32.6","50.0","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","48","3.333","10.4","58.3","22.9","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","300
006","49","3.398","12.2","59.2","24.5","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","49","3.281","16.3","32.7","38.8","10.2",".",".",".","2.0",".",".",".",".",".",".",".","."
"","300
008","50","3.380","8.0","68.0","18.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","300
009","48","3.365","4.2","64.6","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","50","3.360","6.0","62.0","30.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","45","3.233","13.3","28.9","53.3",".","4.4",".",".",".",".",".",".",".",".",".",".","."
"","300
012","43","3.267","14.0","44.2","34.9","4.7",".",".","2.3",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","632","3.291","9.2","48.1","35.9","5.5","0.9",".","0.2","0.2",".",".",".",".",".",".",".","."
"","305
001","58","3.690","74.1","10.3","1.7","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"","305
100","45","3.122","44.4","11.1","22.2","4.4","6.7","4.4","6.7",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","103","3.442","61.2","10.7","10.7","5.8","6.8","1.9","2.9",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","39","3.538","33.3","46.2","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","180","3.536","49.4","24.4","16.1","6.1","2.8","1.1",".",".",".",".",".",".",".",".",".","."
"","322
002","185","3.511","43.2","28.1","19.5","6.5","1.1","1.1",".","0.5",".",".",".",".",".",".",".","."
"Intro to Entrepreneurship","Course Total","365","3.523","46.3","26.3","17.8","6.3","1.9","1.1",".","0.3",".",".",".",".",".",".",".","."
"","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","2","***","","","","","","","","","","","","","","","",""
"Reading & Rsch-Management","399
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Leading Teams","401
001","25","3.380","28.0","32.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","21","3.619","52.4","23.8","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","51","3.745","58.8","35.3","3.9",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","412
002","49","3.735","53.1","40.8","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","Course Total","100","3.740","56.0","38.0","5.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Strat Mgmt Innov Corp EShip","415
001","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leading Change in Organization","420
001","40","3.838","85.0","12.5",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Advanced Entrepreneurship","422
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","39","3.679","61.5","17.9","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","38","3.776","63.2","28.9","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
100","47","3.944","85.1","10.6",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Strategic Management","Course Total","124","3.807","71.0","18.5","7.3","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"Venture Creation","434
001","46","3.870","84.8","4.3","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Theory and Practice","604
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Talent Management","611
001","28","3.804","67.9","28.6",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"People Analytics","614
001","44","3.852","70.5","29.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 60 of 486",""
