"PUBLIC AFFAIRS & PUBLIC POLI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","107","3.547","45.8","30.8","15.9","3.7","2.8","0.9",".",".",".",".",".",".",".",".",".","."
"Intro to Health Policy in U.S.","201
001","97","3.887","87.6","6.2","3.1","2.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Pub Pol in Divided America","230
001","26","3.654","84.6",".","3.8",".","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"","240
001","25","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","29","3.810","69.0","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
003","28","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
005","23","3.696","43.5","52.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Policy Making","Course Total","105","3.776","58.1","39.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"What Works in Health Policy","281
001","42","3.798","76.2","11.9","7.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Administrative Internship","327
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women, Gender, & Public Policy","352
001","25","3.563","32.0","56.0",".","4.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"Workshop in Health Policy","360
001","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Policy","369
001","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","380
004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Public Policy","Course Total","47","3.957","93.6","4.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inequality, Race & Publ Policy","520
001","30","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Public Affairs Seminar Series","802
001","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Energy Analysis & Policy Capst","810
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Analys","819
001","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","27","3.889","88.9","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","36","3.778","58.3","38.9","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","878
002","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","Course Total","35","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","974
003","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","23","3.609","43.5","39.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
