"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","371
001","103","2.893","27.2","9.7","19.4","21.4","14.6","5.8","1.9",".",".",".",".",".",".",".",".","."
"","371
002","115","2.891","33.0","4.3","18.3","13.9","23.5","5.2","1.7",".",".",".",".",".",".",".",".","."
"","371
003","112","2.942","26.8","12.5","21.4","13.4","19.6","6.3",".",".",".",".",".",".",".",".",".","."
"","371
005","107","2.854","28.0","8.4","20.6","13.1","20.6","5.6","2.8","0.9",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","437","2.896","28.8","8.7","19.9","15.3","19.7","5.7","1.6","0.2",".",".",".",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Sci Computing Project","405
001","55","3.645","67.3","12.7","9.1","3.6","7.3",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","51","3.549","43.1","25.5","29.4","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","11","3.136","27.3","18.2","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","431
003","6","2.833","16.7",".","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","22","3.000","22.7","13.6","31.8","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","436
001","96","3.479","45.8","21.9","21.9","7.3","2.1",".","1.0",".",".",".",".",".",".",".",".","."
"","436
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Data Visualization","Course Total","98","3.480","45.9","21.4","22.4","7.1","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"","451
001","82","3.488","42.7","22.0","20.7","12.2",".",".",".","2.4",".",".",".",".",".",".",".","."
"","451
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning","Course Total","85","3.482","42.4","22.4","20.0","12.9",".",".",".","2.4",".",".",".",".",".",".",".","."
"","453
001","75","3.696","52.0","36.0","9.3",".","1.3",".",".",".",".",".",".",".",".","1.3",".","."
"","453
002","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Deep Learning","Course Total","89","3.699","50.6","39.3","7.9",".","1.1",".",".",".",".",".",".",".",".","1.1",".","."
"","456
001","38","3.645","55.3","26.3","10.5","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"","456
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Multivariate Analysis","Course Total","39","3.654","56.4","25.6","10.3","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","10","3.500","50.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","479
001","31","3.883","80.6","9.7","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","479
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","39","3.908","84.6","7.7","5.1",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","6","2.417","16.7",".","33.3","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","34","3.441","29.4","32.4","35.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Methods I","601
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Science Computing Project","605
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computing in Data Sci & Stat","606
001","17","3.353","35.3","35.3","17.6",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","610
001","18","3.471","33.3","33.3","16.7","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","610
002","9","3.056","33.3","22.2","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","27","3.327","33.3","29.6","18.5","11.1",".",".","3.7","3.7",".",".",".",".",".",".",".","."
"Stat Inference - Data Sci","612
001","29","3.448","27.6","34.5","37.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 361 of 486",""
