"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","97","3.981","96.9","2.1","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
RCR for the Chemical Sciences","001","","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"728","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"728","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"728","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electronics for Chem Instrmntn","Course Total","","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"738
Intro to Mass Spectrometry","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Advanced Organic Chemistry","001","","29","3.569","37.9","41.4","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"860
Topics-Physical Chemistry","001","","12","3.650","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".","16.7",".","8.3","."
"872
Topic-Macromoleculr/Biophys","002","","19","3.737","68.4","10.5","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chemistry-Biology Interface","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Genomic Sciences Program Semin","157","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-Physical Chemistry","002","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"980","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"980","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"980","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","058","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 211 of 486",""
