"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"The Microbial World","100
001","326","3.564","58.0","17.8","14.7","4.9","2.5","0.9","1.2",".",".",".",".",".",".",".",".","."
"General Microbiology","101
001","303","3.271","25.4","27.1","26.4","18.2","2.0",".","0.3",".",".",".",".",".",".",".","0.7","."
"","102
001","44","3.409","36.4","25.0","27.3","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
002","43","3.395","37.2","18.6","34.9","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","102
003","43","3.628","58.1","16.3","20.9","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","102
004","44","3.284","34.1","15.9","29.5","13.6","6.8",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","174","3.428","41.4","19.0","28.2","6.9","4.6",".",".",".",".",".",".",".",".",".",".","."
"","299
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
100","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
101","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","27","3.966","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","181","3.157","31.5","19.3","26.0","3.3","16.6","2.8","0.6",".",".",".",".",".",".",".",".","."
"","304
001","33","3.091","21.2","6.1","54.5","6.1","12.1",".",".",".",".",".",".",".",".",".",".","."
"","304
002","32","2.984","12.5","15.6","50.0","6.3","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"","304
003","33","2.924","15.2","18.2","45.5","3.0","12.1",".","6.1",".",".",".",".",".",".",".",".","."
"","304
004","32","3.219","25.0","21.9","37.5","3.1","12.5",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","130","3.054","18.5","15.4","46.9","4.6","12.3","0.8","1.5",".",".",".",".",".",".",".",".","."
"","305
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","26","3.520","42.3","30.8","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"Intro Disease Biology","345
001","286","3.873","88.1","5.2","2.8","1.0","0.7",".","1.0",".",".",".",".",".","1.0",".",".","."
"Gen Bioinformatics - Microbio","357
001","17","3.676","58.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","60","3.517","58.3","16.7","6.7","6.7","11.7",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","36","3.264","47.2",".","33.3","2.8","13.9","2.8",".",".",".",".",".",".",".",".",".","."
"Microbial Astrobiology","520
001","39","3.851","74.4","12.8","7.7",".",".",".",".","2.6",".",".",".",".","2.6",".",".","."
"Soil Microbiology & Biochem","523
001","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","36","3.361","36.1","22.2","25.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","84","3.927","92.9","2.4","1.2",".",".",".","1.2",".",".",".",".",".",".","2.4",".","."
"","551
001","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","22","3.727","68.2","9.1","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
004","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Rsch Proj Microbio","Course Total","69","3.761","71.0","10.1","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
