"AGRICULTURAL AND APPLIED E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","101","001","36","3.250","41.7","16.7","16.7","11.1","8.3","5.6",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","40","3.650","72.5","10.0","7.5","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Commodity Markets","322","001","28","2.963","39.3","10.7","10.7","10.7","10.7","10.7","3.6","3.6",".",".",".",".",".",".",".","."
"Cooperatives","323","001","23","3.435","56.5","17.4","8.7","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","171","3.593","58.5","20.5","9.4","4.7","1.2","1.2","1.8","2.9",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","9","3.594","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","96","3.602","46.9","34.4","8.3","5.2","1.0","1.0",".","3.1",".",".",".",".",".",".",".","."
"Intro to Organic Agriculture","367","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","23","3.870","82.6","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","375","001","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".",".","11.1",".","."
"","375","003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","22","4.000","90.9",".",".",".",".",".",".","4.5",".",".",".",".",".","4.5",".","."
"","399","088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Agricultural Finance","419","001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Energy Markets","561","001","9","3.556","11.1","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agribusiness Econ & Management","625","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl. Econometric Analysis II","637","001","28","3.625","42.9","39.3","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Development Economics","642","001","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Applied Business Economics","719","001","15","3.567","46.7","33.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm of Applied Econ Anly","721","001","18","3.639","55.6","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","13","3.864","61.5","23.1",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Envir & Resource Econ 1","760","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Colloquium","780","001","10","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
