"LANDSCAPE ARCHITECTURE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"","210","005","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210","006","19","3.778","84.2",".","5.3",".",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"Intro Land Arch Design Studio","","Course Total","25","3.813","84.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".","4.0",".",".","."
"Shaping the Built Environment","211","001","46","3.913","84.8","13.0","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","250","004","88","3.517","67.0","14.8","6.8","1.1","1.1","2.3","5.7",".",".",".",".",".",".","1.1",".","."
"History of Landscape Arch","260","001","144","3.694","70.1","14.6","6.3","4.2","1.4","0.7","1.4",".",".",".",".",".","0.7","0.7",".","."
"Dimensions-Material Culture","264","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","299","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Promoting Environments","321","002","26","3.380","23.1","38.5","23.1","11.5",".",".",".",".",".",".",".",".","3.8",".",".","."
"Landscape Arch Technology I","353","001","28","2.786","17.9","17.9","14.3","17.9","28.6",".","3.6",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375","001","20","3.700","60.0","30.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Plants for Eco Design II","381","001","26","2.577","26.9",".","23.1",".","34.6","11.5","3.8",".",".",".",".",".",".",".",".","."
"Internship in Land Arch","397","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Latino Urbanism","475","001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geodesign methods","511","001","63","3.786","79.4","9.5","4.8","4.8",".","1.6",".",".",".",".",".",".",".",".",".","."
"Urban Design and Open Space","562","001","30","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581","001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581","002","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prescribed Fire Implementation","","Course Total","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Arch Capstone II","611","001","13","3.308","46.2","7.7","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","26","3.577","50.0","30.8","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","699","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","990","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Independent Studies","999","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
