"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","139
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
002","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Belong, Explore, Become","Course Total","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","145
001","360","3.958","96.9","1.7","0.3",".","0.6","0.3","0.3",".",".",".",".",".",".",".",".","."
"","145
002","212","3.914","92.9","1.9",".","1.9","0.9","0.9",".",".",".",".",".",".",".","1.4",".","."
"","145
003","180","3.929","90.0","5.0","2.8",".",".","0.6",".",".",".",".",".",".",".","1.7",".","."
"How to Succeed in College","Course Total","752","3.939","94.1","2.5","0.8","0.5","0.5","0.5","0.1",".",".",".",".",".",".","0.8",".","."
"","210
001","20","3.800","80.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","210
002","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","210
003","22","3.500","68.2","13.6",".","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","210
004","19","3.684","78.9","10.5",".",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","210
005","21","3.500","66.7","14.3","9.5",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","210
006","18","3.333","61.1","16.7",".","5.6",".","16.7",".",".",".",".",".",".",".",".",".","."
"","210
007","16","3.667","75.0","6.3",".","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"","210
008","22","3.818","77.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","210
009","21","3.452","61.9","14.3","9.5",".","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"","210
010","19","3.658","73.7","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","210
011","10","3.550","70.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","210
012","16","3.300","43.8","18.8","12.5","12.5",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","223","3.595","71.3","10.8","5.4","3.1","2.7","4.0","1.8","0.9",".",".",".",".",".",".",".","."
"","215
001","133","3.767","81.2","7.5","2.3","3.0","5.3","0.8",".",".",".",".",".",".",".",".",".","."
"","215
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating About Careers","Course Total","137","3.774","81.8","7.3","2.2","2.9","5.1","0.7",".",".",".",".",".",".",".",".",".","."
"","250
001","16","3.811","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","17","3.971","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","250
003","16","3.797","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","16","3.855","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","15","3.912","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","17","3.829","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","16","3.900","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","15","3.882","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","250
009","14","3.897","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","142","3.873","83.1","9.9","3.5","2.1","0.7",".",".",".",".",".",".",".","0.7",".",".","."
"Bradley Peer Mentor Course","257
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","49","3.602","71.4","10.2","6.1","4.1","2.0","6.1",".",".",".",".",".",".",".",".",".","."
