"L&S","","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","12","3.045","25.0","33.3","8.3","8.3","8.3",".","8.3","8.3",".",".",".",".",".",".",".","."
"","101
003","","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","34","3.500","52.9","20.6","11.8","5.9","2.9",".","2.9","2.9",".",".",".",".",".",".",".","."
"","102
001","","15","2.800","40.0","13.3","13.3",".","6.7","20.0","6.7",".",".",".",".",".",".",".",".","."
"","102
002","","22","3.341","31.8","36.4","18.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","102
003","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","54","3.278","38.9","29.6","14.8","3.7","3.7","7.4","1.9",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","16","3.219","50.0","12.5","6.3","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","203
002","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","25","3.340","48.0","20.0","8.0","16.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","204
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","16","3.781","68.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","249
001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","16","3.688","68.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","258
001","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","258
002","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","20","3.842","70.0","20.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","262
001","","11","3.682","72.7","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","17","3.794","82.4","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Nazi Culture","272
001","","34","3.672","58.8","14.7","17.6",".","2.9",".",".","5.9",".",".",".",".",".",".",".","."
"","276
001","","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
002","","31","3.661","77.4","6.5","6.5","3.2","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","276
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","","58","3.741","74.1","15.5","5.2","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279
001","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Fairytales (Re)imagined","280
001","","66","3.805","80.3","7.6",".","6.1","3.0",".",".","1.5",".",".",".",".",".",".","1.5","."
"Intensive (Honors) German","285
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Literature","Course Total","","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
