"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Topics in Economics","690","001","","40","3.738","55.0","37.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","44","3.705","77.3",".","15.9",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","695","002","","40","3.750","67.5","15.0","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Data Analysis","","Course Total","","84","3.726","72.6","7.1","16.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702","001","","40","3.500","40.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","702","002","","27","3.426","40.7","14.8","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","702","004","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomics I","","Course Total","","82","3.537","45.1","23.2","25.6","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics I","704","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","","72","3.597","41.7","36.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","708","001","","37","3.865","78.4","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","708","002","","36","3.375","30.6","38.9","19.4","8.3",".",".","2.8",".",".",".",".",".",".",".",".","."
"Microeconomics II","","Course Total","","73","3.623","54.8","27.4","12.3","4.1",".",".","1.4",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","44","3.555","36.4","38.6","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","","45","3.625","44.4","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","2.2","."
"Thry: Macroeconomics Seqnce","714","001","","29","3.414","34.5","13.8","51.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometrics","717","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Econometrics","724","001","","28","3.589","35.7","46.4","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning for Econ","725","001","","57","3.298","19.3","35.1","31.6","14.0",".",".",".",".",".",".",".",".",".",".",".","."
"Int'l Financial Econ","730","001","","23","3.543","39.1","30.4","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Analysis-Ind Org&Pub Pol","762","001","","24","3.913","87.5","4.2",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Topics in Microecon Theory","809","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Macroeconomic Theory","810","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Advances-Economics","","Course Total","","25","3.948","88.0","4.0",".",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 239 of 486",""
