"","990
073","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
075","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
083","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","37","",".",".",".",".",".","",".","",".","70.3","",".",".","",".","29.7",".",".",".","."
"PATH-BIO
703","Dept. Total","818","3.816","52.7","9.2","3.8","0.5","0.2","",".","",".","31.8","",".",".","",".","1.3","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","6","3.885","83.3","16.7",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","12","4.000","91.7",".",".",".",".","",".","",".","8.3","",".",".","",".",".",".",".",".","."
"Undergraduates","","20","3.963","90.0","5.0",".",".",".","",".","",".","5.0","",".",".","",".",".",".",".",".","."
"Graduate","","58","3.941","37.9",".","3.4",".",".","",".","",".","39.7","",".",".","",".","19.0",".",".",".","."
"Prof Yr 1","","197","3.889","37.1","7.1","1.5",".",".","",".","",".","53.8","",".",".","",".",".","0.5",".",".","."
"Prof Yr 2","","384","3.760","54.7","12.2","4.9","0.8","0.5","",".","",".","26.0","",".",".","",".",".","0.8",".",".","."
"Prof Yr 3","","95","3.840","76.8","13.7","7.4","1.1",".","",".","",".","1.1","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","64","4.000","54.7",".",".",".",".","",".","",".","45.3","",".",".","",".",".",".",".",".","."
"Professionals","","740","3.809","52.8","10.0","3.9","0.5","0.3","",".","",".","31.9","",".",".","",".",".","0.5",".",".","."
"","Dept. Total","818","3.816","52.7","9.2","3.8","0.5","0.2","",".","",".","31.8","",".",".","",".","1.3","0.5",".",".","."
