"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"100","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemistry Freshman Seminar","Course Total","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","002","","703","3.960","94.3","2.8","0.9","0.1","0.7",".",".","1.0",".",".",".",".","0.1",".",".","."
"Molecules to Life & Science","Course Total","","736","3.962","94.6","2.7","0.8","0.1","0.7",".",".","1.0",".",".",".",".","0.1",".",".","."
"207
Engineering Bacteriophage Lab","001","","19","3.763","84.2","5.3",".",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Survey of Biochemistry","001","","34","2.879","23.5","17.6","17.6","11.8","17.6","5.9","2.9","2.9",".",".",".",".",".",".",".","."
"501","001","","230","3.496","52.2","20.0","13.0","6.1","7.8","0.9",".",".",".",".",".",".",".",".",".","."
"501","002","","412","3.486","49.3","19.4","17.0","5.3","7.5",".","0.2","1.0",".",".",".",".","0.2",".",".","."
"Introduction-Biochemistry","Course Total","","642","3.490","50.3","19.6","15.6","5.6","7.6","0.3","0.2","0.6",".",".",".",".","0.2",".",".","."
"507
General Biochemistry I","001","","57","3.205","43.9","12.3","14.0","7.0","15.8","5.3",".","1.8",".",".",".",".",".",".",".","."
"508
General Biochemistry II","001","","99","2.730","21.2","11.1","31.3","2.0","20.2","7.1","6.1",".",".",".",".",".",".",".","1.0","."
"510
Nutr Biochm & Mtblsm","001","","58","3.623","63.8","12.1","15.5",".","5.2","1.7",".","1.7",".",".",".",".",".",".",".","."
"551
Biochemical Methods","001","","95","3.732","62.1","27.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"560
Human Disease & Biotechnology","001","","35","3.114","11.4","11.4","68.6","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","23","2.978","21.7","17.4","30.4","4.3","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","29","3.534","37.9","31.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Mechanisms-Vitamins & Minerals","001","","35","3.343","25.7","37.1","22.9","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 13 of 486"
