"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","44","3.227","29.5","22.7","27.3","9.1","9.1","2.3",".",".",".",".",".",".",".",".",".","."
"","300
003","133","3.229","27.8","27.1","21.8","11.3","11.3","0.8",".",".",".",".",".",".",".",".",".","."
"","300
004","134","3.157","26.9","24.6","23.9","9.7","11.9","2.2","0.7",".",".",".",".",".",".",".",".","."
"","300
100","39","3.014","25.6","23.1","20.5","10.3","7.7",".","7.7",".",".",".",".",".","2.6","2.6",".","."
"Operations & Supply Chain Mgmt","Course Total","350","3.178","27.4","25.1","23.1","10.3","10.9","1.4","1.1",".",".",".",".",".","0.3","0.3",".","."
"Business Process Improvement","351
001","33","3.712","54.5","33.3","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","421
002","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","427
001","15","3.667","66.7","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","427
002","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","Course Total","26","3.692","65.4","15.4","15.4",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Global Experience: Sply Chn Mg","429
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
001","45","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
002","44","3.693","59.1","22.7","15.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","452
004","23","3.783","73.9","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","112","3.714","59.8","25.0","13.4","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","453
001","29","3.483","13.8","72.4","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","453
002","49","3.531","28.6","55.1","12.2","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Operations Analytics","Course Total","78","3.513","23.1","61.5","11.5","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"Product Management","701
001","53","3.783","58.5","39.6","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","30","3.741","50.0","43.3","3.3",".",".",".",".",".",".",".",".",".",".",".","3.3","."
"","702
050","60","3.817","70.0","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Strategy","Course Total","90","3.792","63.3","30.0","5.6",".",".",".",".",".",".",".",".",".",".",".","1.1","."
"Supply Chain Analytics","714
001","49","3.673","40.8","53.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","727
001","28","3.839","67.9","32.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
020","41","3.293","17.1","24.4","58.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
021","43","3.384","16.3","44.2","39.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
050","61","3.500","26.2","45.9","26.2",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Economics for Managers","Course Total","145","3.406","20.7","39.3","39.3",".",".",".",".",".",".",".",".",".","0.7",".",".","."
"Project Management","752
051","22","3.727","59.1","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"TSPM Applied Learning","777
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
216","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","3","***","","","","","","","","","","","","","","","",""
