"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"360","121","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"360","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Performance in Practice","Course Total","","32","3.974","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Backstage Laboratory II","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"367
Script Analysis","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"368
Fundamentals of Directing","001","","16","3.719","81.3",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"379
Intro to Stage Management","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
History of Theatres&Staging","001","","26","3.980","92.3","3.8",".",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"464
Costume Technology Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"561","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"561","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory III","Course Total","","2","***","","","","","","","","","","","","","","","",""
"563
Costume Design II","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"619","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"631
Theories of Acting","001","","6","2.917","50.0","16.7",".",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"661
Advanced Production Practicum","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
