"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Teach Secondry Schl Math II","394
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prep to Teach Abroad Capstone","419
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","432
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","432
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design II","Course Total","38","3.961","92.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching World Lang-PK-8","442
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","8","",".",".",".",".",".",".",".",".",".","87.5",".",".",".",".",".","."
"","454
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","454
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
004","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","463
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
003","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
004","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
005","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar - Elementary Education","Course Total","131","3.996","99.2","0.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
002","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
003","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
004","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
005","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","106","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","468
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"EC/ESL Student Teaching","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CS Education","502
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
