"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","14","3.577","57.1","7.1","21.4",".","7.1",".",".",".",".",".",".",".",".","7.1",".","."
"","100
002","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
007","16","3.719","81.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
008","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","16","3.688","81.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","100
010","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
012","15","3.667","80.0","6.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
014","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","16","3.406","62.5","12.5","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","182","3.738","75.8","11.5","6.6","1.1","2.2","1.1","1.1",".",".",".",".",".",".","0.5",".","."
"","212
001","18","3.667","66.7","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","212
002","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
006","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","112","3.884","87.5","6.3","4.5","0.9",".","0.9",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","85","3.665","65.9","18.8","9.4","1.2","2.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"Honors Independent Study","289
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Digital Video Prod","314
001","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital & Print Media Design","332
001","26","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Correcting Misinfo in Science","340
001","89","3.744","71.9","10.1","12.4","2.2","2.2",".",".","1.1",".",".",".",".",".",".",".","."
"Science Podcasting & Radio","360
001","20","3.800","95.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Brand Strategy for Sciences","435
001","33","3.924","84.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Media & Sci Comm","440
001","41","3.707","65.9","14.6","17.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","46","3.620","76.1","4.3","10.9","2.2","2.2",".","4.3",".",".",".",".",".",".",".",".","."
"Social Media Analytics","460
001","77","3.994","98.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ag Marketing NAMA","477
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culturally Responsive Sci Comm","480
001","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Marketing of Sciences","515
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Science for the Public","561
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","26","3.788","73.1","19.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
