"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","21","3.000","47.6","19.0","4.8","9.5","9.5","9.5",".",".","",".",".","",".",".",".",".",".","."
"Junior","","80","3.492","57.5","15.0","13.8","10.0","2.5",".",".",".","",".",".","",".",".","1.3",".",".","."
"Senior","","330","3.530","55.8","19.4","15.8","3.3","3.6","1.5","0.3",".","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","432","3.503","55.8","18.5","14.8","4.9","3.7","1.6","0.2",".","",".",".","",".",".","0.5",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","96","3.740","45.8","5.2","7.3","2.1",".",".",".","29.2","",".",".","",".","10.4",".",".",".","."
"","Dept. Total","532","3.524","53.8","16.0","13.3","4.3","3.0","1.3","0.2","5.8","",".",".","",".","1.9","0.4",".",".","."
