"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"615
Statistical Learning","001","","23","3.435","21.7","47.8","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"620
Statistics in Human Genetics","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"627
Prof. Skills Data Science","002","","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"628
Data Science Practicum","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"642
Statistcl Mthds-Epidemiolgy","001","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Special Topics in Statistics","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","200","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"701
Applied Time Series Analysis I","001","","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Mathematical Statistics","001","","23","3.636","43.5","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"726
Nonlinear Optimization I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"734
Theory of Probability II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"741
Survival Analysis Thry & Mthds","001","","20","3.550","60.0","30.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"768
Stat Mthds-Medical Image Anlys","001","","6","3.250","33.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"775
Bayesian Statistics","001","","31","3.917","83.9","9.7","3.2",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"833
Topics in Probability","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Analys Var II","001","","22","3.455","31.8","27.3","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"888
Topics in Math Data Science","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
