"LAW","","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","","","",""
"LAW
528","Dept. Total","3343","1.244","10.1","0.1","12.1","",".","1.1","0.0","0.1","34.5","",".",".","",".","",".","",".",".",".","2.2"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","","","",""
"Special","","31","1.682","12.9",".","32.3","",".","6.5",".",".","3.2","",".",".","",".","",".","",".",".",".","."
"Graduate","","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","","905","1.131","12.8",".","19.1","",".","1.8",".","0.1",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","942","1.400","9.8",".","9.2","",".","1.1",".",".","46.7","",".",".","",".","",".","",".",".",".","2.7"
"Prof Yr 3","","1357","1.350","8.2",".","8.5","",".","0.7",".","0.1","51.8","",".",".","",".","",".","",".",".",".","3.5"
"Prof Yr 4","","103","0.938","9.7",".","17.5","",".",".","1.0",".","10.7","",".",".","",".","",".","",".",".",".","."
"Professionals","","3307","1.232","9.9",".","11.9","",".","1.1","0.0","0.1","34.9","",".",".","",".","",".","",".",".",".","2.2"
"","Dept. Total","3343","1.244","10.1","0.1","12.1","",".","1.1","0.0","0.1","34.5","",".",".","",".","",".","",".",".",".","2.2"
