"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"506
Strategy-Inclusive Schoolng","001","","31","3.645","77.4",".","16.1",".","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"546
Teaching World Languages II","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Methds&Matls-Early Childhd Edu","001","","116","3.866","82.8","12.9","0.9","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"559
Adv Pract-Teach Soc Studies","001","","31","3.726","67.7","16.1","9.7","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"576
Topics in Game Design","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590
Adv Pract-Teaching Science","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"596
Adv Prac-Tch Engl Secn Schl","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"630","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Dev School & Community","Course Total","","3","***","","","","","","","","","","","","","","","",""
"674","001","","39","3.792","61.5","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"674","002","","42","3.890","81.0","11.9","4.8",".",".",".",".",".",".",".",".",".",".",".","2.4","."
"Adv Methods in Teaching ESL","Course Total","","81","3.844","71.6","17.3","6.2",".",".",".",".",".",".",".",".",".","3.7",".","1.2","."
"675","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"675","002","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","006","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","84","3.934","90.5","3.6","4.8",".",".",".",".",".",".",".",".",".",".",".","1.2","."
"676
Bilingualism&Biliteracy-Schls","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","053","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719
Intro to Qualitative Research","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Internationalizing Ed Knowldg","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"744
Perspectvs-Multicultrl Educ","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","Page 93 of 486"
