"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","20","2.974","45.0","10.0","5.0","5.0","15.0","10.0","5.0","5.0",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","27","3.481","66.7","11.1","7.4","3.7","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"Slavic Science Fiction","207","001","","74","3.739","68.9","10.8","12.2","1.4","2.7",".",".","1.4",".",".",".",".",".",".","2.7","."
"Chekhov: Drama of Modern Life","220","001","","24","3.708","62.5","29.2",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spanish American Literature","245","001","","20","3.025","35.0","20.0","10.0","15.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Dante's Divine Comedy","253","001","","72","3.816","59.7","9.7","9.7",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"","266","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","266","002","","19","3.417","36.8","31.6","5.3","15.8","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"Elem Topics in Russ Lit & Cult","","Course Total","","29","3.607","55.2","24.1","3.4","10.3","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"Scand Lit in Tran-20th C","274","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276","001","","27","3.611","66.7","14.8","11.1","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"","276","002","","23","3.870","95.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","276","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","","Course Total","","55","3.755","81.8","7.3","5.5","1.8",".","1.8","1.8",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"German Fairytales (Re)imagined","280","001","","52","3.529","75.0","5.8","1.9","3.8","3.8","9.6",".",".",".",".",".",".",".",".",".","."
"Topics in French Lit&Cult","303","001","","49","3.616","71.4","8.2","8.2","2.0","4.1","2.0","2.0",".",".",".",".",".",".",".","2.0","."
"","324","001","","18","3.306","22.2","44.4","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","324","002","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","","Course Total","","38","3.645","57.9","26.3","10.5","2.6",".","2.6",".",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vampires","327","001","","60","3.350","53.3","20.0","11.7","3.3","3.3","1.7","6.7",".",".",".",".",".",".",".",".","."
"The Nordic Storyteller","345","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand Decadence-European Cntxt","350","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Living at the End of Times","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","","28","3.771","53.6","25.0","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
