"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","18","3.688","66.7","11.1","5.6","11.1",".",".","",".",".","",".","5.6","",".",".","",".",".",".","."
"Junior","201","3.689","58.7","22.9","10.0","2.5","2.0",".","",".",".","",".","4.0","",".",".","",".",".",".","."
"Senior","721","3.748","66.4","15.1","8.9","2.6","0.6","0.4","",".",".","",".","6.0","",".",".","",".",".",".","."
"Undergraduates","941","3.734","64.8","16.7","9.0","2.8","0.9","0.3","",".",".","",".","5.5","",".",".","",".",".",".","."
"Special","12","3.938","66.7","8.3",".",".",".",".","",".",".","",".","16.7","",".",".","",".",".","8.3","."
"Graduate","233","3.891","36.5","6.9","1.3",".",".",".","",".","29.6","",".","18.5","",".","6.9","",".",".","0.4","."
"Prof Yr 3","4","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","4","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
