"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","302
003","30","3.400","40.0","23.3","20.0","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","69","3.449","42.0","29.0","14.5","8.7","4.3","1.4",".",".",".",".",".",".",".",".",".","."
"","310
001","36","3.389","19.4","50.0","27.8",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"","310
002","36","3.375","22.2","41.7","25.0","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","36","3.431","27.8","36.1","30.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","108","3.398","23.1","42.6","27.8","5.6",".","0.9",".",".",".",".",".",".",".",".",".","."
"","329
001","48","3.719","54.2","35.4","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","329
002","47","3.564","44.7","34.0","12.8","6.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"","329
100","33","3.515","42.4","27.3","24.2","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","Course Total","128","3.609","47.7","32.8","14.8","3.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Accounting Information Systems","340
001","36","3.458","36.1","33.3","19.4","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"","401
001","36","3.736","61.1","27.8","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","37","3.703","54.1","37.8","2.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","73","3.719","57.5","32.9","5.5","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","33","3.303","30.3","12.1","48.5","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","406
002","37","3.486","37.8","21.6","40.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting and Analysis Report","Course Total","70","3.400","34.3","17.1","44.3","2.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"Experience in Accounting","600
001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct, Audit & Tax","601
001","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","18","3.278","11.1","38.9","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","34","3.279","26.5","17.6","44.1","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","52","3.279","21.2","25.0","44.2","7.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"","621
001","16","3.406","18.8","50.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","28","3.161","17.9","21.4","39.3","17.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","44","3.250","18.2","31.8","34.1","13.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"","630
001","29","3.741","55.2","37.9","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","28","3.661","50.0","32.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Auditing","Course Total","57","3.702","52.6","35.1","12.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","702
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"International Taxation","725
001","28","3.500","32.1","46.4","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","730
001","37","3.473","35.1","32.4","24.3","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","38","3.513","39.5","31.6","21.1","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Auditing","Course Total","75","3.493","37.3","32.0","22.7","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","48","3.766","52.1","45.8",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"","740
002","56","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Risk, Contrl, & Forensics","Course Total","104","3.777","54.8","44.2",".",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"","771
001","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of PerformanceControl","Course Total","77","3.994","98.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis Taxes & Bus Decisions","772
001","45","3.811","68.9","26.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 53 of 486"
