"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","320","3.934","76.3","3.8","",".","0.6","0.3","0.3","",".","18.4","",".",".","",".","",".",".","0.3",".","."
"Summary by College/School","","#","Ave","A","AB","B","","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.771","76.2","4.8","",".",".","4.8","4.8","",".","4.8","",".",".","",".","",".","4.8",".",".","."
"Sophomore","","65","3.935","83.1",".","",".","1.5",".",".","",".","15.4","",".",".","",".","",".",".",".",".","."
"Junior","","68","3.944","72.1","5.9","",".",".",".",".","",".","22.1","",".",".","",".","",".",".",".",".","."
"Senior","","152","3.966","78.9","3.9","",".",".",".",".","",".","17.1","",".",".","",".","",".",".",".",".","."
"Undergraduates","","306","3.945","78.1","3.6","",".","0.3","0.3","0.3","",".","17.0","",".",".","",".","",".","0.3",".",".","."
"Special","","18","3.684","44.4","5.6","",".","5.6",".",".","",".","38.9","",".",".","",".","",".",".","5.6",".","."
"","College Total","324","3.934","76.2","3.7","",".","0.6","0.3","0.3","",".","18.2","",".",".","",".","",".","0.3","0.3",".","."
