"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","12","3.542","33.3","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","13","3.192","53.8","7.7","15.4",".","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"","100
011","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","14","3.393","42.9","35.7","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
013","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
014","15","3.400","33.3","46.7",".","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","100
016","12","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
017","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","12","3.292","25.0","41.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","100
023","14","3.679","64.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
024","13","3.269","15.4","53.8","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
025","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","15","3.567","53.3","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
027","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","14","3.679","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
029","14","3.214","21.4","50.0","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","100
030","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","14","3.429","21.4","42.9","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
033","14","3.143","28.6","35.7","14.3","7.1",".","14.3",".",".",".",".",".",".",".",".",".","."
"","100
034","14","3.286","35.7","42.9","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","100
101","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","385","3.601","55.1","27.8","10.9","1.6","2.3","1.3","1.0",".",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","155
001","111","3.838","78.4","14.4","4.5","1.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","117","3.767","79.5","7.7","5.1","4.3","0.9","0.9","0.9",".",".",".",".",".",".",".","0.9","."
"Survey of Contemporary Media","250
001","132","3.386","27.3","45.5","15.2","6.1","4.5","0.8","0.8",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","167","3.660","61.1","21.0","9.0","6.0","1.8","0.6",".","0.6",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","85","3.465","49.4","23.5","15.3","5.9","2.4","1.2","2.4",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","24","3.583","37.5","45.8","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","146","3.298","40.4","27.4","12.3","8.9","5.5","2.1","3.4",".",".",".",".",".",".",".",".","."
"Film Comedy","300
001","93","3.413","28.0","44.1","3.2","1.1","6.5","2.2","1.1","14.0",".",".",".",".",".",".",".","."
"","310
002","63","3.573","60.3","17.5","9.5","3.2","6.3",".","1.6",".",".",".",".",".",".","1.6",".","."
"","310
003","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","Course Total","81","3.606","60.5","18.5","11.1","2.5","4.9",".","1.2",".",".",".",".",".",".","1.2",".","."
"Disability and the Media","312
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","Page 218 of 486",""
