"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"505
Biofluidics","001","","18","3.583","38.9","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","55","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","36","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Intro to Energy-Tissue Interac","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Engr Extracellular Matrices","001","","30","3.450","30.0","36.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
Data Science in Med Phys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Special Topics-Biomed Engr","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bioinstrmnt MedDevices","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Medical Devices Ecosystem","001","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biophotonics Laboratory","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Seminar-Biomedical Engineering","001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","142","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 120 of 486",""
