"MANAGEMENT AND HUMAN RES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Diversity in Organizations","617","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","001","","35","3.900","82.9","14.3","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","002","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","050","","61","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628","051","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","","140","3.946","92.1","7.1","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurship-Arts&CultOrgs","636","001","","29","3.466","31.0","31.0","37.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Destruction Lab II","641","001","","23","3.826","87.0",".","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704","050","","64","3.883","81.3","14.1","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710","001","","21","3.575","42.9","33.3","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715","001","","30","3.517","33.3","36.7","23.3","3.3",".",".",".",".",".",".",".",".",".",".","3.3","."
"Leading Change in Orgs","720","001","","45","3.911","82.2","17.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","003","","26","3.500","34.6","34.6","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","723","020","","41","3.610","39.0","43.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","021","","42","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","040","","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","050","","64","3.602","35.9","48.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","051","","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","","Course Total","","215","3.605","39.1","44.7","15.8","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"Growth Strategies","724","050","","60","3.833","70.0","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728","001","","35","3.829","74.3","17.1","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Weinert Appl Ventr in Entreshp","738","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Impact Consulting for Arts II","747","001","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev for Arts Leadership","750","001","","19","3.526","36.8","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Arts Administration","774","001","","20","3.475","30.0","35.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Learn in Hum Res Mgmt","775","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic HR Mgmt Capstone","776","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","226","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Seminar in Business Strategy","973","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","228","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","999","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","","","Page 61 of 486"
