"","682
007","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","682
008","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","682
009","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Senior Honors Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","","",""
"INTER-AG
494","Dept. Total","256","3.977","96.5","2.3","0.4","",".","0.4","",".","",".","",".","",".",".","",".","0.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.833","86.7","6.7",".","",".","6.7","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","94","3.973","95.7","3.2","1.1","",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","85","3.994","98.8","1.2",".","",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","62","3.993","96.8","1.6",".","",".",".","",".","",".","",".","",".",".","",".","1.6","",".",".",".","."
"Undergraduates","","256","3.977","96.5","2.3","0.4","",".","0.4","",".","",".","",".","",".",".","",".","0.4","",".",".",".","."
"","Dept. Total","256","3.977","96.5","2.3","0.4","",".","0.4","",".","",".","",".","",".",".","",".","0.4","",".",".",".","."
