"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"Second Semester Ancient Greek","104","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Ancient Greek","306","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Readings in Greek Lit","571","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GREEK
428","","Dept. Total","21","3.841","66.7","23.8","4.8",".",".",".",".",".","4.8",".",".",".",".",".",".","."
