"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"761
Mathematical Machine Learning","001","","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","111","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","115","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","119","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","70","",".",".",".",".",".",".",".","85.7",".",".",".","12.9","1.4",".",".","."
"835
Light Interact w Quantm Matrls","001","","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Antennas","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Topics in Applied Algebra","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"845
Trnsprt-Semicondctr Devices","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
