"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","25","3.760","76.0","8.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to African History","106
001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro African Lit","201
001","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","8","3.750","37.5","37.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Intro African Cultural Studies","Course Total","18","3.906","72.2","16.7",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intro Topics in African Lit","203
001","23","3.886","73.9","21.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Intro Topics African Languages","204
001","18","3.556","72.2","5.6","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","210
001","19","3.667","68.4","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".",".","5.3","."
"","210
002","18","3.667","66.7","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","210
003","25","3.800","80.0","8.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","15","3.567","66.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","210
005","22","3.773","86.4",".",".","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","210
006","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","12","3.458","58.3","16.7",".","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","210
008","21","3.786","76.2","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","152","3.725","75.7","9.2","5.9","4.6","2.6","0.7","0.7",".",".",".",".",".",".",".","0.7","."
"Global HipHop & Social Justice","233
001","14","3.607","50.0","35.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","20","3.767","50.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","25.0","."
"Arabic Lit & Cinema","302
001","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"African Lit and Visual Culture","303
001","24","3.625","62.5","16.7","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","322
001","17","3.794","76.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","27","3.796","74.1","14.8","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324
001","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Arabic","330
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Swahili","332
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Yoruba","372
002","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","374
002","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","374
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Yoruba","Course Total","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem-Lang of West Africa","394
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African Cultural Studies","405
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Topics US/Global Black Music","409
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam in Africa & the Diaspora","414
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Swahili","436
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Muslims and Jews","462
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","671
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
