"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","233","3.884","90.6","6.0","0.4","0.9","0.4","0.9","0.9",".",".",".",".",".",".",".",".","."
"","103","001","395","3.872","85.8","7.1","4.8","1.3","0.8",".","0.3",".",".",".",".",".",".",".",".","."
"","103","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","415","3.878","86.5","6.7","4.6","1.2","0.7",".","0.2",".",".",".",".",".",".",".",".","."
"GenderSexuality&GlobalHealth","104","001","135","3.619","61.5","21.5","7.4","3.7","2.2","2.2","0.7",".",".",".",".",".",".",".","0.7","."
"Women's Writing","144","001","46","3.696","63.0","23.9","6.5","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","002","72","3.306","36.1","33.3","9.7","5.6","11.1","4.2",".",".",".",".",".",".",".",".",".","."
"Queering Religion","202","001","14","3.071","42.9",".","21.4","28.6",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intro to Black Women's Studies","221","001","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminist App: Research&Writing","240","001","28","3.852","75.0","17.9",".","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"","248","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","248","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","","Course Total","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdy Abrd Tpc: Gndr, Wm & Hum","319","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sexual & Relationship Violence","322","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Feminisms","333","001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","38","3.750","76.3","10.5","5.3","2.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Bi/Pan/Asexuality","344","001","38","3.181","36.8","23.7","10.5","10.5","5.3","2.6","5.3",".",".",".",".",".","5.3",".",".","."
"Narrating Queer Lives","345","001","16","3.781","81.3","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","350","001","31","3.850","90.3","3.2",".",".",".",".","3.2",".",".",".",".",".","3.2",".",".","."
"","350","002","24","3.804","66.7","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Topics in Gender & Literature","","Course Total","55","3.830","80.0","10.9","3.6",".",".",".","1.8",".",".",".",".",".","1.8",".","1.8","."
"Sex and Power","361","001","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Women-African Diaspora&Africa","367","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Law, Sexuality, & Society","406","001","10","3.450","20.0","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Women and the Law","422","001","17","3.688","52.9","29.4","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"The Female Body in the World","423","001","38","3.797","65.8","23.7","7.9",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Crime, Gender and Justice","425","001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics Gender Rights MidEast","435","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology by Women","443","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Queer of Color Critique","446","001","30","3.800","80.0","6.7","10.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","464","001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminist Geography Methods","514","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Framing Fatness","523","001","41","3.738","68.3","17.1","7.3",".","4.9",".",".",".",".",".",".",".","2.4",".",".","."
"Women's Global Health","535","001","35","3.829","74.3","17.1","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ+ Health","538","001","32","2.952","34.4","18.8","6.3","15.6","6.3","12.5","3.1",".",".",".",".",".","3.1",".",".","."
