"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","450
001","7","3.583","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","450
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Analytics","Course Total","12","3.364","41.7","33.3","8.3",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"","460
001","49","3.643","44.9","38.8","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","49","3.704","44.9","51.0","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","49","3.459","28.6","57.1","8.2","2.0",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"","460
100","29","2.946","13.8","34.5","10.3","17.2","13.8","6.9",".",".",".",".",".",".","3.4",".",".","."
"Marketing Strategy","Course Total","176","3.497","35.2","46.6","9.7","3.4","2.3","1.7","0.6",".",".",".",".",".","0.6",".",".","."
"Consumer Behavior","705
050","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
050","26","3.673","53.8","34.6","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","727
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","730
001","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Product Marketing","740
001","21","3.619","66.7","4.8","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Digital Marketing Analytics","745
001","34","3.368","29.4","26.5","35.3","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","755
001","28","3.839","71.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
050","26","3.558","30.8","50.0","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","54","3.732","51.9","37.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","17","3.324","11.8","41.2","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
040","20","3.325","15.0","35.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
050","60","3.275","15.0","30.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Growth Marketing Strategies","Course Total","97","3.296","14.4","33.0","49.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","25","3.860","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","33","3.915","84.8","9.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bayesian Machine Learning","779
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual-Based Marketing Insights","805
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","33","3.333","24.2","30.3","36.4","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","815
002","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Analytics","Course Total","43","3.384","27.9","30.2","34.9","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Marketing","840
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Analytics & Insights","842
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research Methods","972
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
138","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
162","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
