"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","",""
"SOC WORK
896","Dept. Total","1345","3.789","73.5","13.8","5.3","2.1","1.6","0.2","0.2","2.3","",".","0.4","",".","0.1","0.4",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.697","65.9","17.1","9.8","4.9","2.4",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","110","3.664","68.2","16.4","7.3","4.5","2.7",".","0.9",".","",".",".","",".",".",".",".",".","."
"Junior","","163","3.595","55.8","26.4","9.8","3.7","2.5","1.8",".",".","",".",".","",".",".",".",".",".","."
"Senior","","316","3.655","63.9","18.4","9.2","3.5","3.8",".","0.6",".","",".",".","",".",".","0.6",".",".","."
"Undergraduates","","630","3.645","62.7","20.0","9.0","3.8","3.2","0.5","0.5",".","",".",".","",".",".","0.3",".",".","."
"Special","","42","3.755","52.4","2.4",".","2.4","2.4",".",".","35.7","",".",".","",".",".",".",".","4.8","."
"Graduate","","672","3.932","84.8","8.5","2.1","0.4","0.1",".",".","2.4","",".","0.9","",".","0.1","0.4",".","0.1","."
"Prof Yr 4","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1346","3.789","73.4","13.7","5.3","2.1","1.6","0.2","0.2","2.3","",".","0.4","",".","0.1","0.4",".","0.2","."
