"BUS","","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"M H R
Dept. Total
236","2424","3.573","47.0","30.6","17.2","3.2","0.9","0.2","0.2","0.4","",".",".","",".","0.0","0.1",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"Freshmen","34","3.103",".","44.1","35.3","17.6","2.9",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","356","3.377","26.7","37.4","26.4","6.7","1.7","0.6","0.3","0.3","",".",".","",".",".",".",".",".","."
"Junior","567","3.480","36.7","33.2","24.2","3.5","1.4","0.5","0.4",".","",".",".","",".",".","0.2",".",".","."
"Senior","658","3.617","50.2","30.4","14.4","3.5","0.8","0.2","0.3","0.2","",".",".","",".",".","0.2",".",".","."
"Undergraduates","1615","3.505","39.2","33.2","20.9","4.5","1.2","0.4","0.3","0.1","",".",".","",".",".","0.1",".",".","."
"Special","31","3.477","35.5","29.0","22.6","3.2","3.2",".",".","3.2","",".",".","",".",".",".",".","3.2","."
"Graduate","764","3.764","63.6","25.5","9.0","0.5","0.1",".",".","0.9","",".",".","",".","0.1",".",".","0.1","."
"Prof Yr 2","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","8","3.674","62.5","12.5","25.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","14","3.671","64.3","7.1","28.6",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Dept. Total","2424","3.573","47.0","30.6","17.2","3.2","0.9","0.2","0.2","0.4","",".",".","",".","0.0","0.1",".","0.1","."
