"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing in Sciences","153
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","152","3.783","73.7","19.7","0.7","2.0","1.3",".","1.3","0.7",".",".",".",".",".","0.7",".","."
"W Culture:Sci,Tech,Phil II","202
001","31","3.903","87.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","106","3.321","32.1","32.1","15.1","6.6","7.5","3.8",".","2.8",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","7","2.429","14.3","28.6","14.3",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".","."
"Rome: Lust for Glory","350
002","25","3.479","48.0","24.0","8.0","12.0",".","4.0",".",".",".",".",".",".",".","4.0",".","."
"Migration Lit Americas","367
001","40","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis in Arts & Literature","371
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies Humanities","373
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
003","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","Course Total","33","3.803","60.6","39.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Thought","423
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ILS
500","Dept. Total","421","3.638","61.8","22.6","5.9","3.3","2.6","1.4","1.0","1.0",".",".",".",".",".","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.203","48.0","20.0","4.0","4.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Sophomore","","180","3.662","61.1","26.7","5.6","1.7","2.8","0.6","1.1",".",".",".",".",".",".","0.6",".","."
"Junior","","107","3.663","63.6","19.6","9.3","4.7","0.9","1.9",".",".",".",".",".",".",".",".",".","."
"Senior","","105","3.676","66.7","20.0","3.8","4.8","1.9","1.0","1.0",".",".",".",".",".",".","1.0",".","."
"Undergraduates","","417","3.638","62.4","22.8","6.0","3.4","2.6","1.4","1.0",".",".",".",".",".",".","0.5",".","."
"Special","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","421","3.638","61.8","22.6","5.9","3.3","2.6","1.4","1.0","1.0",".",".",".",".",".","0.5",".","."
