"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","8","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","15","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","24","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","7","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","61","3.952","62.3","1.6","3.3","",".","",".","",".","",".","32.8","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","22","",".",".",".","",".","",".","",".","",".","95.5","",".",".","",".","",".","",".",".","4.5","."
"Prof Yr 4","","21","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","43","",".",".",".","",".","",".","",".","",".","97.7","",".",".","",".","",".","",".",".","2.3","."
