"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","68","3.103","17.6","26.5","29.4","11.8","14.7",".",".",".",".",".",".",".",".",".",".","."
"","335
001","18","3.167","38.9","5.6","22.2","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","335
002","40","2.675","25.0","10.0","12.5","10.0","32.5","5.0","5.0",".",".",".",".",".",".",".",".","."
"","335
003","17","2.941","41.2",".","17.6","11.8","17.6","11.8",".",".",".",".",".",".",".",".",".","."
"","335
004","50","3.440","56.0","12.0","16.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","335
005","19","3.579","57.9","10.5","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","335
006","47","3.185","40.4","12.8","17.0","10.6","10.6","6.4",".",".",".",".",".",".","2.1",".",".","."
"","335
007","14","2.929","28.6","7.1","21.4","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","335
008","41","3.207","41.5","14.6","14.6","7.3","19.5","2.4",".",".",".",".",".",".",".",".",".","."
"","335
009","19","3.132","52.6","5.3","15.8",".","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","335
010","49","3.153","51.0","8.2","16.3","2.0","12.2","4.1","6.1",".",".",".",".",".",".",".",".","."
"","335
011","21","2.952","33.3","4.8","19.0","14.3","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"","335
012","43","3.000","34.9","14.0","11.6","14.0","18.6","4.7","2.3",".",".",".",".",".",".",".",".","."
"","335
013","27","2.907","18.5","7.4","33.3","18.5","22.2",".",".",".",".",".",".",".",".",".",".","."
"","335
014","28","3.036","39.3","10.7","21.4","3.6","14.3","7.1","3.6",".",".",".",".",".",".",".",".","."
"","335
015","24","2.833","25.0",".","29.2","16.7","25.0","4.2",".",".",".",".",".",".",".",".",".","."
"","335
016","26","3.173","34.6","7.7","34.6","3.8","19.2",".",".",".",".",".",".",".",".",".",".","."
"","335
017","26","2.904","42.3",".","11.5","11.5","26.9","3.8","3.8",".",".",".",".",".",".",".",".","."
"","335
018","26","2.538","3.8","23.1","23.1","15.4","23.1","3.8","7.7",".",".",".",".",".",".",".",".","."
"Physiology","Course Total","535","3.059","37.9","9.5","19.1","9.3","17.8","4.1","2.1",".",".",".",".",".","0.2",".",".","."
"","337
001","221","3.148","38.9","18.6","13.6","9.0","12.2","5.0","2.3","0.5",".",".",".",".",".",".",".","."
"","337
002","195","3.154","40.5","18.5","14.4","8.2","9.2","6.7","2.6",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","416","3.151","39.7","18.5","13.9","8.7","10.8","5.8","2.4","0.2",".",".",".",".",".",".",".","."
"","338
001","32","3.188","34.4","25.0","15.6","12.5","3.1","9.4",".",".",".",".",".",".",".",".",".","."
"","338
002","31","3.016","22.6","25.8","25.8","3.2","16.1","3.2","3.2",".",".",".",".",".",".",".",".","."
"","338
003","29","3.362","37.9","24.1","17.2","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"","338
004","32","3.391","46.9","21.9","12.5","6.3","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"","338
005","28","3.375","39.3","28.6","10.7","10.7","10.7",".",".",".",".",".",".",".",".",".",".","."
"","338
006","31","3.000","25.8","29.0","16.1","9.7","9.7","3.2","6.5",".",".",".",".",".",".",".",".","."
"","338
007","28","3.196","25.0","25.0","28.6","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"","338
008","31","3.242","35.5","19.4","22.6","9.7","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"","338
009","32","3.469","34.4","43.8","6.3","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"","338
010","29","3.172","34.5","20.7","17.2","13.8","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","303","3.241","33.7","26.4","17.2","10.6","7.9","3.3","1.0",".",".",".",".",".",".",".",".","."
"","399
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund of Human Physiology","435
001","92","3.397","58.7","8.7","17.4","3.3","4.3","5.4","2.2",".",".",".",".",".",".",".",".","."
