"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Investment Theory","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Econ of Race","325","001","44","3.455","47.7","22.7","15.9","9.1","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Money and Banking","330","001","84","3.173","26.2","21.4","21.4","25.0","4.8","1.2",".",".",".",".",".",".",".",".",".","."
"Microecon in Popular Culture","340","001","41","3.695","68.3","17.1","12.2",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","32","3.141","21.9","31.3","25.0","3.1","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"Chinese Economy","350","001","36","3.250","38.9","25.0","13.9","2.8","13.9","5.6",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390","001","29","3.796","58.6","31.0","3.4",".",".",".",".","3.4",".",".",".",".",".","3.4",".","."
"Intro Applied Econometrics","400","001","206","3.110","25.2","18.4","23.8","18.9","12.1","1.0",".",".",".",".",".",".","0.5",".",".","."
"Introductory Econometrics","410","001","94","3.048","21.3","24.5","22.3","14.9","14.9",".","2.1",".",".",".",".",".",".",".",".","."
"","420","002","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420","003","20","3.342","20.0","30.0","40.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","420","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","33","3.484","30.3","36.4","27.3","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Analytical Public Finance","441","001","86","3.053","22.1","22.1","24.4","16.3","9.3","3.5","1.2","1.2",".",".",".",".",".",".",".","."
"Macroeconomic Policy","442","001","65","3.305","35.4","15.4","35.4","4.6","4.6","3.1",".",".",".",".",".",".",".","1.5",".","."
"Wages and the Labor Market","450","001","39","2.949","20.5","28.2","15.4","12.8","15.4","5.1","2.6",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","83","3.037","24.1","14.5","24.1","19.3","14.5",".","1.2","1.2",".",".",".",".","1.2",".",".","."
"International Macroeconomics","461","001","88","2.920","20.5","19.3","19.3","21.6","12.5","5.7","1.1",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","77","3.467","48.1","22.1","16.9","2.6","7.8",".","1.3","1.3",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","34","3.485","35.3","41.2","11.8",".","8.8",".",".",".",".",".",".",".",".","2.9",".","."
"Markets with Frictions","503","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524","001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insuring Life's Risks","530","001","43","3.198","25.6","16.3","37.2","18.6",".","2.3",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","20","3.389","35.0","20.0","25.0",".","10.0",".",".","5.0",".",".",".",".",".","5.0",".","."
"Experimental Econ","535","001","22","3.119","27.3","13.6","22.7","18.2","13.6",".",".",".",".",".",".",".","4.5",".",".","."
"Economics of Health Care","548","001","31","3.387","29.0","29.0","32.3","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"","570","001","66","3.856","72.7","25.8","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570","002","63","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund Data Analytics for Econ","","Course Total","129","3.810","69.8","22.5","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Internatl Macro","661","001","27","3.574","55.6","18.5","14.8","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
