"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","229","3.923","89.5","6.1","3.1","0.4","0.4",".",".",".",".",".",".",".","0.4",".",".","."
"","306
002","51","3.863","80.4","13.7","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","306
003","40","3.963","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
004","51","3.680","66.7","13.7","11.8","2.0","2.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"","306
005","51","3.922","94.1",".","3.9",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","306
006","50","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","472","3.896","87.3","6.6","4.2","0.6","0.6","0.2",".",".",".",".",".",".","0.4",".",".","."
"","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","10","3.444","50.0",".","20.0","20.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Contemporary Topics","Course Total","15","3.643","66.7",".","13.3","13.3",".",".",".",".",".",".",".",".","6.7",".",".","."
"","410
001","48","3.404","37.5","27.1","18.8","10.4","2.1","2.1",".","2.1",".",".",".",".",".",".",".","."
"","410
003","22","3.591","63.6","9.1","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","410
004","16","3.344","37.5","31.3","6.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","86","3.441","44.2","23.3","15.1","10.5","4.7","1.2",".","1.2",".",".",".",".",".",".",".","."
"Excel Modeling","411
001","70","3.379","41.4","17.1","27.1","10.0","2.9",".","1.4",".",".",".",".",".",".",".",".","."
"","412
002","27","3.685","51.9","33.3","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
003","60","3.703","66.7","11.7","15.0","3.3","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"ARGUS Modeling","Course Total","87","3.698","62.1","18.4","14.9","2.3","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"","415
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","16","3.250","31.3","18.8","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","415
003","32","3.438","37.5","28.1","21.9","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","59","3.415","37.3","25.4","23.7","10.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"","420
002","40","3.550","35.0","45.0","17.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","420
003","27","3.611","40.7","40.7","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
005","46","3.620","52.2","30.4","8.7","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","113","3.593","43.4","38.1","14.2","2.7","1.8",".",".",".",".",".",".",".",".",".",".","."
"","425
001","24","3.522","33.3","33.3","29.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","425
002","40","3.738","65.0","22.5","7.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","40","3.488","32.5","40.0","22.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","104","3.592","45.2","31.7","18.3","2.9","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
001","35","3.643","48.6","34.3","14.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","36","3.389","25.0","33.3","38.9",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","530
003","29","3.552","48.3","24.1","20.7","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","530
004","26","3.462","30.8","38.5","26.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Real Est Investment Analysis","Course Total","126","3.512","38.1","32.5","25.4","1.6","2.4",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investment","540
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550
001","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550
002","17","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private Equity Investment I","Course Total","39","3.667","46.2","41.0","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","31","3.597","35.5","54.8","6.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
