"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","67","3.731","64.2","25.4","4.5","4.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","110
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
003","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
006","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Learning Community Sem","Course Total","","33","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"A Global History of Now","146
001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
005","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intl Learning Community Lang","Course Total","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","220
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","220
002","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
003","","8","3.375","37.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","","20","3.550","50.0","25.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to the Middle East","266
001","","20","3.417","40.0","20.0","20.0","5.0",".","5.0",".",".",".",".",".",".",".","10.0",".","."
"Arabic Lit & Cinema","302
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Humanitarianism","330
001","","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"East Asia & The US Since 1899","332
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Globalization and Education","335
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","","18","3.417","66.7","5.6",".","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","Course Total","","39","3.667","79.5","7.7",".","5.1","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"Stdy Abrd Tpcs: Global Culture","503
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Global Health","535
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Global Security","601
001","","15","3.367","20.0","46.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","602
002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Global Econ","Course Total","","12","3.705","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","603
001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-International Studies","Course Total","","12","3.827","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 279 of 486",""
