"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","37","3.676","43.2","48.6","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","49","2.594","18.4","12.2","26.5","10.2","10.2","12.2","8.2",".",".",".",".",".","2.0",".",".","."
"Intro to Chem Process Modeling","255","001","","63","2.944","17.5","15.9","39.7","7.9","12.7","4.8","1.6",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","48","3.104","25.0","22.9","14.6","22.9","14.6",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","35","3.029","17.1","25.7","31.4","14.3","5.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","36","3.125","33.3","19.4","30.6","5.6","2.8",".","8.3",".",".",".",".",".",".",".",".","."
"","324","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","16","3.344","31.3","25.0","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","15","3.433","33.3","33.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","55","3.482","36.4","32.7","25.5","1.8","3.6",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","51","3.020","19.6","21.6","23.5","21.6","11.8",".","2.0",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","48","2.948","39.6","6.3","18.8","16.7","2.1","12.5","4.2",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","41","3.049","19.5","34.1","14.6","9.8","17.1","4.9",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","55","3.464","47.3","27.3","7.3","7.3","10.9",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","73","3.274","21.9","35.6","27.4","5.5","9.6",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","002","","68","3.162","30.9","30.9","11.8","13.2","5.9","4.4","2.9",".",".",".",".",".",".",".",".","."
"Industrial Chem and Business","505","001","","15","2.933","13.3","33.3","20.0","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","20","3.500","30.0","45.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Eng and the Community","554","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","00B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","30","3.929","83.3","6.7","3.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Instrmntl Analysis-Chem Engr","575","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
