"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"242
Accompanying","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"248
Second Year Composition","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"27
Fundamentals-Percussion","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"342
Piano Accompanying Lab","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Piano","Course Total","","2","***","","","","","","","","","","","","","","","",""
"405","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"405","044","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"405","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"405","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Voice","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"407
Advanced Flute","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"409
Advanced Oboe","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"411","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"411","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Clarinet","Course Total","","3","***","","","","","","","","","","","","","","","",""
"413
Advanced Saxophone","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Advanced Bassoon","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"417","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"417","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Horn","Course Total","","3","***","","","","","","","","","","","","","","","",""
"419
Advanced Trumpet","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"421","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"421","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trombone","Course Total","","4","***","","","","","","","","","","","","","","","",""
"427
Advanced Percussion","033","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"431","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Violin","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"433
Advanced Viola","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"435
Advanced Cello","185","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"437
Advanced Double Bass","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"439
Advanced Harp","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"440
Advanced Guitar","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
