"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","10084","3.397","42.0","20.7","17.5","6.7","4.6","1.6","0.9","3.7","0.0","1.8","0.0","0.1","0.3","0.0","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","245","3.084","31.8","14.3","26.9","11.0","7.3","4.1","2.0",".",".","2.0",".",".","0.4",".",".","."
"Sophomore","","1647","3.313","36.9","23.2","22.6","7.3","4.3","2.3","1.6",".",".","1.8",".",".","0.1",".",".","."
"Junior","","2596","3.378","41.6","21.4","19.2","6.7","6.2","1.6","1.0","0.0",".","2.0","0.0","0.0","0.2",".",".","."
"Senior","","4042","3.379","42.0","21.8","17.7","8.2","5.0","1.8","0.7","0.4","0.0","1.8","0.0","0.1","0.3","0.0",".","."
"Undergraduates","","8530","3.358","40.6","21.7","19.4","7.7","5.3","1.9","1.0","0.2","0.0","1.9","0.0","0.1","0.3","0.0",".","."
"Special","","191","3.463","48.2","20.9","15.7","3.7","3.7","0.5","2.6","0.5","0.5","1.6","0.5",".","1.0","0.5",".","."
"Graduate","","1362","3.749","49.7","14.5","6.4","1.2","0.4","0.1","0.2","26.0",".","1.2",".",".","0.1",".","0.1","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","10084","3.397","42.0","20.7","17.5","6.7","4.6","1.6","0.9","3.7","0.0","1.8","0.0","0.1","0.3","0.0","0.0","."
