"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"222
Fourth Semester Asian Language","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"224
Fourth Semester Filipino","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"226
Fourth Semester Hmong","001","","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"228","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"228","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Indonesian","Course Total","","3","***","","","","","","","","","","","","","","","",""
"230
Fourth Semester Thai","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"232
Fourth Semester Vietnamese","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"234
Fourth Semester Hindi","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"238
Fourth Semester Persian","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"240
Fourth Semester Urdu","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"302","001","","20","3.425","60.0","10.0","10.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"302","002","","10","3.200","60.0","10.0",".","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","Course Total","","30","3.350","60.0","10.0","6.7","6.7","10.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"312
2nd Semester Classical Chinese","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"313
Classical Japanese","001","","18","3.853","72.2","16.7","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"316
2nd Semester Classical Chinese","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"326
Sixth Semester Hmong","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"328
Sixth Semester Indonesian","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Sixth Semester Thai","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese","Course Total","","3","***","","","","","","","","","","","","","","","",""
"338
Sixth Semester Persian","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"340
Sixth Semester Urdu","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"356","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"356","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"356","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Asian","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"358","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"358","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
