"FOREST AND WILDLIFE ECOLO Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"","299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Forest Measurements","300","001","","16","3.500","56.3","12.5","18.8",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Forest Operations","305","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Terr Vertbrt:Life Hist&Ecol","306","001","","63","3.262","34.9","23.8","14.3","12.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Princ-Wildlife Management","379","001","","47","3.609","59.6","14.9","12.8","6.4","4.3",".",".",".",".",".",".",".","2.1",".",".","."
"Data and GIS Tools for Ecology","395","001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Principles of Silviculture","410","001","","16","3.188","12.5","37.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Practices of Silviculture","411","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Disturbance Ecology","448","001","","46","3.848","80.4","10.9","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Disturb Ecol Lab: Herbiv/Fire","449","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Data Science","458","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","","14","3.429","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","520","001","","23","3.348","30.4","43.5","13.0","8.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"","521","001","","7","3.357","57.1","14.3",".",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","521","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","003","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","521","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","","Course Total","","22","3.614","68.2","13.6","4.5",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wildlife Research Capstone","599","001","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Population Dynamics","655","001","","42","3.390","23.8","47.6","21.4",".","2.4",".","2.4",".",".",".",".",".","2.4",".",".","."
"Prof Develop-Forest/Wildlife","675","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mulitivar Analysis Ecol Data","711","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Ecology","821","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Demographic Mthds WildlfeConsv","850","001","","10","3.611","40.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Special Topics","875","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
