"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"HORT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","11","3.476","72.7",".","18.2",".",".","9.1",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","41","3.538","58.5","19.5","4.9","7.3","7.3",".",".","2.4","",".",".","",".",".","",".",".",".","."
"Senior","","189","3.595","69.3","15.3","5.8","1.6","3.7","2.1","1.1","1.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","","243","3.571","67.1","15.2","7.0","2.5","4.1","2.1","0.8","1.2","",".",".","",".",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","48","3.770","39.6","2.1",".","2.1","2.1",".",".","29.2","",".",".","",".","25.0","",".",".",".","."
"","Dept. Total","296","3.589","62.2","12.8","5.7","2.4","3.7","1.7","0.7","6.8","",".",".","",".","4.1","",".",".",".","."
