"CHICANA/O & LATINA/O STUDIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","",""
"Intro US Ethnic/Am Ind Studies","102
001","28","3.625","53.6","28.6","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Latinx Border and Migration","215
001","53","3.279","37.7","20.8","22.6",".","15.1",".","1.9","1.9",".",".",".",".",".",".",".","."
"Intro to Latinx Cultures","222
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chicana/o and Latina/o History","301
001","28","3.857","89.3",".","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","302
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Cult & Hist Topics in CLS","328
001","22","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ed & Serv Topics in CLS","329
003","25","3.640","48.0","40.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Chicano/a Studies","330
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education across the Americas","342
001","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419
001","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443
001","8","3.071","25.0","12.5",".","50.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"","469
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Latinx Culture","Course Total","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latino Urbanism","475
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Border & Race Studies","478
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Chic Lat US Social Mvmt","501
001","15","3.857","80.0","6.7",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Latin@ Mental Health","525
001","22","3.786","72.7","4.5","18.2",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CHICLA
228","Dept. Total","278","3.660","63.7","16.9","11.2","2.2","4.0",".","0.7","0.7",".",".",".",".","0.7",".",".","."
