"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ Program","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"308
Career Management-Engineers","001","","67","3.938","88.1","6.0","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"310
Proj Econ & Decsn Analysis","001","","38","2.895","13.2","13.2","34.2","28.9","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"344
Digital Tech Animal Monitoring","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"349
Quant Technqs-Biological Systm","001","","52","3.750","65.4","25.0","5.8","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"364
Engr Prop-Food & Biol Matls","001","","16","3.000","6.3","25.0","50.0",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","44","3.023","22.7","15.9","38.6","2.3","13.6","6.8",".",".",".",".",".",".",".",".",".","."
"367","001","","101","3.857","74.3","18.8","3.0","1.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"367","003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","108","3.862","75.0","18.5","2.8","0.9",".",".",".","2.8",".",".",".",".",".",".",".","."
"405
AI in Ag","001","","21","3.714","66.7","23.8",".","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","12","3.208","8.3","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"464
Heat and Mass Transfer","001","","12","3.125","16.7","16.7","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","11","3.000","18.2","18.2","36.4","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"476","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"476","002","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","Course Total","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"508
Biol Sys Engr Dsgn Practicum I","002","","40","3.738","72.5","20.0",".","2.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","18","3.139","22.2","33.3","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"799
Practicum-Ag Engr Teaching","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Graduate Research Seminar","001","","35","3.843","85.7","2.9","5.7","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","38","",".",".",".",".",".",".",".","73.7",".",".",".","26.3",".",".",".","."
