"BUS","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"GEN BUS
231","Dept. Total","4898","3.470","40.2","21.5","12.3","5.3","2.6","0.6","0.5","0.1","",".","16.3","0.2","",".","0.1","0.4","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","151","3.286","2.6","6.6","1.3","0.7","0.7","0.7",".",".","",".","87.4",".","",".",".",".",".","."
"Sophomore","","914","3.289","18.2","13.2","13.7","6.5","3.5","0.3","0.3",".","",".","44.0","0.1","",".","0.2",".",".","."
"Junior","","1349","3.348","31.8","24.2","16.6","7.8","4.3","1.0","0.8",".","",".","13.1","0.4","",".",".",".",".","."
"Senior","","1369","3.486","39.7","31.3","12.9","6.1","2.2","0.7","0.7","0.4","",".","5.8","0.1","",".","0.1",".",".","."
"Undergraduates","","3783","3.396","30.2","23.4","14.0","6.6","3.2","0.7","0.6","0.2","",".","20.9","0.2","",".","0.1",".",".","."
"Special","","47","3.059","10.6","14.9","10.6",".","6.4",".","2.1","2.1","",".","6.4",".","",".",".","38.3","8.5","."
"Graduate","","1068","3.827","76.8","15.0","6.6","1.0","0.5",".",".",".","",".","0.2",".","",".",".",".",".","."
"","Dept. Total","4898","3.470","40.2","21.5","12.3","5.3","2.6","0.6","0.5","0.1","",".","16.3","0.2","",".","0.1","0.4","0.1","."
