"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","35","",".",".",".",".",".",".",".","74.3",".",".",".","25.7",".",".",".","."
"999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","","4","***","","","","","","","","","","","","","","","",""
