"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201","001","","64","3.680","54.7","31.3","9.4","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"201","002","","64","3.648","42.2","50.0","4.7","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"201","003","","64","3.452","45.3","39.1","4.7","3.1",".",".","6.3",".",".",".",".",".","1.6",".",".","."
"Insects and Human Culture","Course Total","","192","3.594","47.4","40.1","6.3","3.1","0.5",".","2.1",".",".",".",".",".","0.5",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","28","3.313","35.7","17.9","14.3","7.1","7.1","3.6",".","14.3",".",".",".",".",".",".",".","."
"350
Parasitology","001","","21","3.500","61.9","19.0",".","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"371
Medical Entomology","001","","25","3.795","72.0","12.0",".","8.0",".",".",".",".",".",".",".",".","4.0","4.0",".","."
"375
Special Topics","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"432
Tax & Bionomcs-Immature Ins","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Systems Thinking  Global Hlth","001","","54","3.907","88.9","5.6","3.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"624
Molecular Ecology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Mulitivar Analysis Ecol Data","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract-Entomology Teaching","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"821
Foundations of Ecology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","17","",".",".",".",".",".",".",".","58.8",".",".",".","41.2",".",".",".","."
