"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","9","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","7","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","17","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","16","4.000","18.8",".",".",".",".",".","",".","81.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","360","3.530","55.8","15.0","20.3","4.2","4.2","0.6","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","190","3.489","46.8","27.4","18.4","3.7","3.2","0.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","551","3.516","52.8","19.2","19.6","4.0","3.8","0.5","",".",".","",".",".","",".","",".","",".",".",".","."
