"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"681
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"697
Internship","017","","30","",".",".",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.938","80.0",".","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"808
Mass Communication History","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"822
Global Communication","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"824
Race, Ethnicity and Media","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"826
Journalism Theory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828
Gender & Sexuality - Mass Comm","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Topics in Mass Communication","034","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Graduate Teaching Colloquium","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"903
Pro-Track Master's Colloquium","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","36","",".",".",".",".",".",".",".","83.3",".",".",".","13.9","2.8",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research Prob","Course Total","","2","***","","","","","","","","","","","","","","","",""
