"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"842
Topics in Applied Algebra","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"849
Automorphic Forms","001","","20","3.400","65.0","5.0","10.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"851
Topics-Geometric Topology","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"863
Adv Topics-Algebraic Geom","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"888
Topics in Math Data Science","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","10","3.958","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Analysis","Course Total","","20","3.978","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Topology","Course Total","","5","***","","","","","","","","","","","","","","","",""
"96","001","","43","2.291","14.0","11.6","20.9","14.0","7.0","20.9","11.6",".",".",".",".",".",".",".",".","."
"96","002","","49","2.633","26.5","8.2","20.4","8.2","16.3","14.3","6.1",".",".",".",".",".",".",".",".","."
"Preparatory Algebra","Course Total","","92","2.473","20.7","9.8","20.7","10.9","12.0","17.4","8.7",".",".",".",".",".",".",".",".","."
"967","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Number Theory","Course Total","","5","***","","","","","","","","","","","","","","","",""
"975
Seminar-Foundations of Math","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 305 of 486",""
