"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"950","009","","19","",".",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","10.5"
"950","010","","15","",".",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","13.3"
"950","011","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"950","014","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"950","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills","Course Total","","236","",".",".",".",".",".",".",".","90.3",".",".",".",".",".",".",".","9.7"
"957
Intro to Estate Planning","001","","12","0.364","8.3",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"989
Environmental Law and Practice","001","","19","1.750","15.8","5.3","21.1",".","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","142","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","164","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","167","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","168","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","095","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","124","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","142","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
